Symbol,Company Name,Sector,Market Cap
CARBORUNIV,Carborundum Univers.,Abrasives,21538.54
WENDT,Wendt (India),Abrasives,1632
GRINDWELL,Grindwell Norton,Abrasives,21728.8
316825,Adcounty Media India,Advertising & Media,200.44
YAAP,Yaap Digital,Advertising & Media,294.56
306573,Maagh Advt. & Mktg.,Advertising & Media,571.98
VERTOZ,Vertoz,Advertising & Media,320.98
SIGNPOST,Signpost India,Advertising & Media,1305.52
CUDML,Cash UR Drive Market,Advertising & Media,185.63
308505,Bright Outdoor Media,Advertising & Media,766.54
RKSWAMY,RK Swamy,Advertising & Media,475.75
321345,Simca Advertising,Advertising & Media,311.26
322253,Yaap Digital,Advertising & Media,294.56
ASTRAMICRO,Astra Microwave Prod,Aerospace & Defense,16415.99
ROSSTECH,Rossell Techsys,Aerospace & Defense,4336.98
UNIMECH,Unimech Aerospace,Aerospace & Defense,7649.04
SIKA,Sika Interplant Sys.,Aerospace & Defense,2111.82
JAYKAY,Jaykay Enterprises,Aerospace & Defense,2318.55
AEQUS,Aequs,Aerospace & Defense,16242.18
322569,Digilogic Systems,Aerospace & Defense,491.59
AVANTEL,Avantel,Aerospace & Defense,4117.46
AXISCADES,Axiscades Tech.,Aerospace & Defense,7280.03
HAL,Hindustan Aeronaut.,Aerospace & Defense,324757.14
BEL,Bharat Electronics,Aerospace & Defense,296301.88
BDL,Bharat Dynamics,Aerospace & Defense,46003.59
DATAPATTNS,Data Patterns (I),Aerospace & Defense,25668.65
TECHERA,TechEra Engineering,Aerospace & Defense,265.82
C2C,C2C Advanced Systems,Aerospace & Defense,376.36
KRISHNADEF,Krishna Defence,Aerospace & Defense,1514.51
APOLLO,Apollo Micro Systems,Aerospace & Defense,14451.51
PARAS,Paras Defence &Space,Aerospace & Defense,11402.3
ZENTEC,Zen Technologies,Aerospace & Defense,16265.37
CENTUM,Centrum Electronics,Aerospace & Defense,5561.29
NIBE,NIBE,Aerospace & Defense,2071.97
IDEAFORGE,Ideaforge Technology,Aerospace & Defense,3862.6
DCXINDIA,DCX Systems,Aerospace & Defense,1880.54
308491,CFF Fluid Control,Aerospace & Defense,2074.97
SIGMAADV,Sigma Advanced Sys.,Aerospace & Defense,14480.18
BSHSL,Bombay Super Hybrid,Agriculture,959.97
KOTYARK,Kotyark Industries,Agriculture,381.73
317469,Rukmani Devi Garg,Agriculture,124.26
KSCL,Kaveri Seed,Agriculture,3827.58
VENKEYS,Venky''s (India),Agriculture,2337.93
AVTNPL,AVT Natural Products,Agriculture,1386.09
REGAAL,Regaal Resources,Agriculture,911.6
NATHBIOGEN,Nath Bio-Genes (I),Agriculture,290.99
SHEEL,Sheel Biotech,Agriculture,125.37
SHEETAL,Sheetal Universal,Agriculture,407.87
OSWALSEEDS,Shree Oswal Seeds,Agriculture,107.2
FRESHARA,Freshara Agro Export,Agriculture,1000.36
NARMADA,Narmada Agrobase,Agriculture,102.5
INDOUS,Indo US Bio-Tech,Agriculture,155.36
MGEL,Mangalam Global Ent.,Agriculture,469.29
245238,JK Agri Genetics,Agriculture,133.5
